,match_id,scheduled,home_id,away_id,home_team,away_team,country_code
0,111,2016-11-20 18:00:00,92,87,FC Barcelona,Malaga CF,ESP
1,112,2016-11-20 18:00:00,91,96,Real Betis Balompie,Las Palmas UD,ESP
2,113,2016-11-20 18:00:00,98,89,Sporting Gijon,Real Sociedad,ESP
3,114,2016-11-20 18:00:00,83,82,CD Alaves,Espanyol Barcelona,ESP
4,115,2016-11-20 18:00:00,99,88,SD Eibar,Celta de Vigo,ESP
5,116,2016-11-20 18:00:00,95,81,Valencia CF,Granada CF,ESP
6,117,2016-11-20 18:00:00,86,85,Deportivo La Coruna,Sevilla FC,ESP
7,118,2016-11-20 18:00:00,100,90,Atletico Madrid,Real Madrid,ESP
8,119,2016-11-20 18:00:00,97,94,CD Leganes,CA Osasuna,ESP
9,120,2016-11-20 18:00:00,84,93,Athletic Bilbao,Villarreal CF,ESP
0,121,2016-11-19 19:00:00,113,107,SC Bastia,Montpellier HSC,FRA
1,122,2016-11-19 19:00:00,114,102,Toulouse FC,FC Metz,FRA
2,123,2016-11-19 19:00:00,116,111,AS Nancy,Dijon FCO,FRA
3,124,2016-11-19 19:00:00,108,104,AS Saint Etienne,OGC Nice,FRA
4,125,2016-11-19 19:00:00,101,105,Olympique Marseille,SM Caen,FRA
5,126,2016-11-19 19:00:00,119,106,Stade Rennes,SCO Angers,FRA
6,127,2016-11-19 19:00:00,109,117,FC Lorient,AS Monaco,FRA
7,128,2016-11-19 19:00:00,112,115,EA Guingamp,FC Girondins Bordeaux,FRA
8,129,2016-11-19 19:00:00,118,120,Paris St Germain,FC Nantes,FRA
9,130,2016-11-19 19:00:00,103,110,Lille OSC,Olympique Lyon,FRA
0,111,2016-11-19 12:30:00,58,43,Manchester United,Arsenal FC,ENG
1,112,2016-11-19 15:00:00,41,56,Southampton FC,Liverpool FC,ENG
2,113,2016-11-19 15:00:00,59,42,Crystal Palace,Manchester City,ENG
3,114,2016-11-19 15:00:00,49,55,Stoke City,Bournemouth AFC,ENG
4,115,2016-11-19 15:00:00,44,45,Everton FC,Swansea City,ENG
5,116,2016-11-19 15:00:00,57,52,Watford FC,Leicester City,ENG
6,117,2016-11-19 15:00:00,60,50,Sunderland AFC,Hull City,ENG
7,118,2016-11-19 17:30:00,54,47,Tottenham Hotspur,West Ham United,ENG
8,119,2016-11-20 16:00:00,51,48,Middlesbrough FC,Chelsea FC,ENG
9,120,2016-11-21 20:00:00,46,53,West Bromwich Albion,Burnley FC,ENG
0,91,2016-11-18 19:30:00,71,74,Bayer Leverkusen,RB Leipzig,DEU
1,92,2016-11-19 14:30:00,73,64,1 FSV Mainz 05,SC Freiburg,DEU
2,93,2016-11-19 14:30:00,77,72,SV Darmstadt 98,FC Ingolstadt,DEU
3,94,2016-11-19 14:30:00,68,63,FC Augsburg,Hertha BSC,DEU
4,95,2016-11-19 14:30:00,75,62,VfL Wolfsburg,FC Schalke 04,DEU
5,96,2016-11-19 14:30:00,66,78,Monchengladbach,1 FC Cologne,DEU
6,97,2016-11-19 17:30:00,67,76,Borussia Dortmund,Bayern Munich,DEU
7,98,2016-11-20 14:30:00,61,65,1899 Hoffenheim,Hamburger SV,DEU
8,99,2016-11-20 16:30:00,70,69,Werder Bremen,Eintracht Frankfurt,DEU
