,id,stats_id,status,scheduled,scheduled_pst,home_id,away_id,venue_id
0,374,228c49ec-a406-4f9d-b2ae-97c17fa89368,scheduled,2016-12-15 00:00:00,2016-12-14 16:00:00,5,2,f62d5b49-d646-56e9-ba60-a875a00830f8
1,375,64d0470d-6e64-4086-bbfc-b54a2b100568,scheduled,2016-12-15 00:00:00,2016-12-14 16:00:00,4,10,b67d5f09-28b2-5bc6-9097-af312007d2f4
2,376,a2bbde3e-3bb7-4a83-979f-02f04f710af2,scheduled,2016-12-15 00:00:00,2016-12-14 16:00:00,15,11,b3dca541-859e-5301-bf90-4ec677a514a9
3,377,c4da9c9d-377d-4779-9c89-82d080376e0f,scheduled,2016-12-15 00:00:00,2016-12-14 16:00:00,3,16,aecd8da6-0404-599c-a792-4b33fb084a2a
4,378,fd92969e-37a9-4180-8703-c7e4606fd618,scheduled,2016-12-15 00:30:00,2016-12-14 16:30:00,13,18,7a330bcd-ac0f-50ca-bc29-2460e5c476b3
5,379,19d34de9-6306-4fa0-a5a4-ed7693b28a01,scheduled,2016-12-15 01:00:00,2016-12-14 17:00:00,23,6,7657c204-a20b-527a-99cb-dc29218462aa
6,380,9e7d9b92-94ca-421c-a885-cb117f540274,scheduled,2016-12-15 01:00:00,2016-12-14 17:00:00,22,19,5b239206-57ce-50aa-baaa-627f3349dfdc
7,381,e64f76e6-df11-46b6-a061-85b3b0e5a6e6,scheduled,2016-12-15 01:30:00,2016-12-14 17:30:00,24,9,401ba62f-19b5-5bfc-84d6-021772943311
8,382,60f35f51-1ef2-4c22-be9a-5ecd3c52e288,scheduled,2016-12-15 02:00:00,2016-12-14 18:00:00,27,28,53bac75a-a667-52b5-a416-b80718ae4ed2
9,383,735a07de-458a-47ff-afc8-1e5cbf4e62ad,scheduled,2016-12-15 02:30:00,2016-12-14 18:30:00,21,12,8a7580c0-4052-54d5-85cd-85aab6200acf
